v, i, t
0.100, 276.659, 0.038
0.200, 272.230, 0.038
0.300, 269.020, 0.039
0.400, 267.621, 0.039
0.500, 266.800, 0.038
0.600, 266.955, 0.039
0.700, 263.021, 0.039
0.800, 265.093, 0.040
0.900, 261.219, 0.039
1.000, 258.241, 0.041
1.100, 259.339, 0.041
1.200, 255.532, 0.039
1.300, 257.370, 0.039
1.400, 255.611, 0.041
1.500, 251.855, 0.042
1.600, 251.477, 0.040
1.700, 250.327, 0.042
1.800, 247.009, 0.040
1.900, 248.315, 0.042
2.000, 242.662, 0.041
2.100, 244.153, 0.043
2.200, 237.957, 0.042
2.300, 233.390, 0.046
2.400, 228.800, 0.046
2.500, 211.990, 0.047
2.600, 188.790, 0.056
2.700, 161.292, 0.062
2.800, 124.171, 0.085
2.900, 83.307, 0.120
3.000, 38.901, 0.270